"id","name","readonly","readwrite","requirement"
"A23CMP__c","2',3'-Cyclic AMP","","x","x"
"A3MP__c","3'-AMP","","x","x"
"AC__c","acetate","","x","x"
"ACAL__c","acetaldehyde","","x","x"
"ACCOA__c","Acetyl-CoA","","x","x"
"acriflavine__c","Acriflavine","","x","x"
"ACTP__c","Acetyl phosphate","","x","x"
"AD__c","adenine","","x","x"
"ADN__c","adenosine","","x","x"
"ADP__c","ADP","","x","x"
"AEPP__c","2-aminoethylphosphonate","","x","x"
"AHCYS__c","S-Adenosyl-L-homocysteine","","x","x"
"AKG__c","2-Oxoglutarate","","x","x"
"ALA__c","L-alanine","","x","x"
"AlaAla__c","L-alanyl-L-alanine","","x","x"
"AMET__c","S-Adenosyl-L-methionine","","x","x"
"aminodimethylaniline__c","N,N'-dimethyl-p-phenylenediamine","","x","x"
"AMP__c","AMP","","x","x"
"AMP_Lysine__c","AMP-Lysine","","x","x"
"AMP_Mor__c","AMP-morpholidate","","x","x"
"AMP_NH2__c","AMP-NH2","","x","x"
"anthranilate__c","2-aminobenzoic acid","","x","x"
"ARG__c","L-Arginine","","x","x"
"ArgArg__c","L-arginyl-L-arginine","","x","x"
"ASN__c","L-Asparagine","","x","x"
"AsnAsn__c","L-asparaginyl-L-asparagine","","x","x"
"ASP__c","L-Aspartate","","x","x"
"AspAsp__c","L-aspartyl-L-aspartic Acid","","x","x"
"ATP__c","ATP","","x","x"
"aza6dT__c","6-aza-2'-deoxythymidine","","x","x"
"aza6dTMP__c","6-aza-2'-deoxythymidine monophosphate","","x","x"
"aza8dA__c","8-aza-2'-deoxyadenosine","","x","x"
"aza8dAMP__c","8-aza-2'-deoxyadenosine monophosphate","","x","x"
"benzalkonium__c","Benzalkonium","","x","x"
"berberine__c","Berberine","","x","x"
"BUT__c","butyric acid, butanoic acid","","x","x"
"C23CMP__c","2',3'-Cyclic CMP","","x","x"
"C3MP__c","3'-CMP","","x","x"
"c5dU__c","5-Carbouy-2'-deoxyuridine","","x","x"
"c5dUMP__c","5-Carbouy-2'-deoxyuridine monophosphate","","x","x"
"CA__c","calcium ion","","x","x"
"CAP__c","carbamoyl phosphate","","x","x"
"carbamoylmethyl6dA__c","N6-carbamoylmethyl-2'-deoxyadenosine","","x","x"
"carbamoylmethyl6dAMP__c","N6-carbamoylmethyl-2'-deoxyadenosine monophosphate","","x","x"
"CDP__c","CDP","","x","x"
"CDPDG120__c","CDP-1,2-didodecanoylglycerol","","x","x"
"CDPDG140__c","CDP-1,2-ditetradecanoylglycerol","","x","x"
"CDPDG141__c","CDP-1,2-ditetradec-7-enoylglycerol","","x","x"
"CDPDG160__c","CDP-1,2-dihexadecanoylglycerol","","x","x"
"CDPDG161__c","CDP-1,2-dihexadec-9-enoylglycerol","","x","x"
"CDPDG180__c","CDP-1,2-dioctadecanoylglycerol","","x","x"
"CDPDG181__c","CDP-1,2-dioctadec-11-enoylglycerol","","x","x"
"Ceramide16__c","Ceramide (d18:1/16:0)","","x","x"
"CH3OH__c","methanol","","x","x"
"chloroacetaldehyde__c","chloroacetaldehyde","","x","x"
"chloroethylene_oxide__c","chloroethylene oxide","","x","x"
"CHOL__c","choline","","x","x"
"CHP__c","cumene hydroperoxide","","x","x"
"ciprofloxacin__c","ciprofloxacin","","x","x"
"CITR__c","L-citrulline","","x","x"
"CL__c","chloride ion","","x","x"
"CL160__c","cardiolipin (tetrahexadecanoyl, n-C16:0)","","x","x"
"CL161__c","cardiolipin (tetrahexadec-9-enoyl, n-C16:1)","","x","x"
"CL181__c","cardiolipin (tetraoctadec-11-enoyl, n-C18:1)","","x","x"
"cmnm5s2U__c","5-carboxymethylaminomethyl-2-thiouridine","","x","x"
"cmnm5s2UMP__c","5-carboxymethylaminomethyl-2-thiouridine monophosphate","","x","x"
"CMP__c","CMP","","x","x"
"CO__c","cobalt ion","","x","x"
"CO2__c","carbon dioxide","","x","x"
"COA__c","coenzyme A","","x","x"
"crystalViolet__c","Crystal violet","","x","x"
"CTP__c","CTP","","x","x"
"CU__c","cupric ion","","x","x"
"cyclobutane_dCdC__c","cyclobutane 2'-deoxycytidine dimer","","x","x"
"cyclobutane_dCdT__c","cyclobutane 2'-deoxycytidine 2'-deoxythymidine ","","x","x"
"cyclobutane_dCMPdCMP__c","cyclobutane 2'-deoxycytidine monophosphate dimer","","x","x"
"cyclobutane_dCMPdTMP__c","cyclobutane 2'-deoxycytidine monophosphate 2'-deoxythymidine  monophosphate","","x","x"
"cyclobutane_dTdC__c","cyclobutane 2'-deoxythymidine 2'-deoxycytidine","","x","x"
"cyclobutane_dTdT__c","cyclobutane 2'-deoxythymidine dimer","","x","x"
"cyclobutane_dTMPdCMP__c","cyclobutane 2'-deoxythymidine monophosphate 2'-deoxycytidine monophosphate","","x","x"
"cyclobutane_dTMPdTMP__c","cyclobutane 2'-deoxythymidine monophosphate dimer","","x","x"
"cyclodA__c","8,5'-cyclo-2'-deoxyadenosine","","x","x"
"cyclodAMP__c","8,5'-cyclo-2'-deoxyadenosine monophosphate","","x","x"
