Metabolite (722),Description,read only,Read and write,write only,requirement
A23CMP,"2',3'-Cyclic AMP",,,,
A3MP,3'-AMP,,,,
AC,acetate,,,,
ACAL,acetaldehyde,,,,
ACCOA,Acetyl-CoA,,,,
acetamide,acetamide ,,,,
acriflavine,Acriflavine,,,,
ACTP,Acetyl phosphate,,,,
AD,adenine,,,,
ADN,adenosine,,,,
ADP,ADP,,,,
AEPP,2-aminoethylphosphonate,,,,
AHCYS,S-Adenosyl-L-homocysteine,,,,
AHL_3OC12,N-(3-Oxododecanoyl)homoserine lactone,,,,
AHL_3OC6,N-(3-Oxohexanoyl)homoserine lactone,,,,
AKG,2-Oxoglutarate,,,,
ALA,L-alanine,,,,
AlaAla,L-alanyl-L-alanine,,,,
AMET,S-Adenosyl-L-methionine,,,,
aminodimethylaniline,"N,N'-dimethyl-p-phenylenediamine",,,,
AMP,AMP,,,,
AMP_ALA,L-alanyl-AMP,,,,
AMP_ARG,L-Arginyl-AMP,,,,
AMP_ASN,L-Asparagyl-AMP,,,,
AMP_ASP,L-Aspartyl-AMP,,,,
AMP_CYS,L-Cysteinyl-AMP,,,,
AMP_FMET,N-Formyl-L-methionine-AMP,,,,
AMP_GLN,L-glutaminyl-AMP,,,,
AMP_GLU,L-Glutamatyl-AMP,,,,
AMP_GLY,glycyl-AMP,,,,
AMP_HIS,L-Histidyl-AMP,,,,
AMP_ILE,L-Isoleucyl-AMP,,,,
AMP_LEU,L-Leucyl-AMP,,,,
AMP_LYS,L-Lysyl-AMP,,,,
AMP_Lysine,AMP-Lysine,,,,
AMP_MET,L-Methionyl-AMP,,,,
AMP_Mor,AMP-morpholidate,,,,
AMP_NH2,AMP-NH2,,,,
AMP_PHE,L-phenylalanyl-AMP,,,,
AMP_PRO,L-Prolyl-AMP,,,,
AMP_SER,L-Seryl-AMP,,,,
AMP_THR,L-Threonyl-AMP,,,,
AMP_TRP,L-tryptophanyl-AMP,,,,
AMP_TYR,L-tyrosyl-AMP,,,,
AMP_VAL,L-Valyl-AMP,,,,
anthranilate,2-aminobenzoic acid,,,,
ApAp,Ap-Ap,,,,
ARG,L-Arginine,,,,
ArgArg,L-arginyl-L-arginine,,,,
ASN,L-Asparagine,,,,
AsnAsn,L-asparaginyl-L-asparagine,,,,
ASP,L-Aspartate,,,,
AspAsp,L-aspartyl-L-aspartic Acid,,,,
ATP,ATP,,,,
aza6dT,6-aza-2'-deoxythymidine,,,,
aza6dTMP,6-aza-2'-deoxythymidine monophosphate,,,,
aza6THY,6-aza-thymine,,,,
aza8AD,8-aza-adenine,,,,
aza8dA,8-aza-2'-deoxyadenosine,,,,
aza8dAMP,8-aza-2'-deoxyadenosine monophosphate,,,,
azithromycin,azithromycin,,,,
benzalkonium,Benzalkonium,,,,
berberine,Berberine,,,,
BUT,"butyric acid, butanoic acid",,,,
