"id","name","readonly","readwrite","requirement"
"MG_124_MONOMER_ox__c","oxidized thioredoxin","","x","x"
"MG_229_231_TETRAMER__c","ribonucleoside-diphosphate reductase","","x","x"
"MG_229_231_TETRAMER_ox__c","oxidized ribonucleoside-diphosphate reductase","","x","x"
"MG_287_MONOMER_ACP__c","holo acyl carrier protein","","x","x"
"MG_287_MONOMER_ddcaACP__c","Dodecanoyl-ACP (n-C12:0ACP)","","x","x"
"MG_287_MONOMER_hdeACP__c","cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)","","x","x"
"MG_287_MONOMER_myrsACP__c","Myristoyl-ACP (n-C14:0ACP)","","x","x"
"MG_287_MONOMER_ocdcaACP__c","Octadecanoyl-ACP (n-C18:0ACP)","","x","x"
"MG_287_MONOMER_octeACP__c","cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)","","x","x"
"MG_287_MONOMER_palmACP__c","Palmitoyl-ACP (n-C16:0ACP)","","x","x"
"MG_287_MONOMER_tdeACP__c","cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)","","x","x"
"MG_427_DIMER__c","osmotically inducible peroxidase","","x","x"
"MG_427_DIMER_ox__c","oxidized osmotically inducible peroxidase","","x","x"
"MG_454_DIMER__c","thiol-dependent peroxidase","","x","x"
"MG_454_DIMER_ox__c","oxidized thiol-dependent peroxidase","","x","x"
"MG_124_MONOMER_ox__e","oxidized thioredoxin","","x","x"
"MG_229_231_TETRAMER__e","ribonucleoside-diphosphate reductase","","x","x"
"MG_229_231_TETRAMER_ox__e","oxidized ribonucleoside-diphosphate reductase","","x","x"
"MG_287_MONOMER_ACP__e","holo acyl carrier protein","","x","x"
"MG_287_MONOMER_ddcaACP__e","Dodecanoyl-ACP (n-C12:0ACP)","","x","x"
"MG_287_MONOMER_hdeACP__e","cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)","","x","x"
"MG_287_MONOMER_myrsACP__e","Myristoyl-ACP (n-C14:0ACP)","","x","x"
"MG_287_MONOMER_ocdcaACP__e","Octadecanoyl-ACP (n-C18:0ACP)","","x","x"
"MG_287_MONOMER_octeACP__e","cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)","","x","x"
"MG_287_MONOMER_palmACP__e","Palmitoyl-ACP (n-C16:0ACP)","","x","x"
"MG_287_MONOMER_tdeACP__e","cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)","","x","x"
"MG_427_DIMER__e","osmotically inducible peroxidase","","x","x"
"MG_427_DIMER_ox__e","oxidized osmotically inducible peroxidase","","x","x"
"MG_454_DIMER__e","thiol-dependent peroxidase","","x","x"
"MG_454_DIMER_ox__e","oxidized thiol-dependent peroxidase","","x","x"
