	id	model_type	name	readonly	readwrite	requirement
0	gamma_radiation_c	Stimulus	gamma radiation (1.2 MeV)	-	x	x
1	A23CMP_c	Metabolite	2',3'-Cyclic AMP	-	x	x
2	A3MP_c	Metabolite	3'-AMP	-	x	x
3	AC_c	Metabolite	acetate	-	x	x
4	ACAL_c	Metabolite	acetaldehyde	-	x	x
5	ACCOA_c	Metabolite	Acetyl-CoA	-	x	x
6	acriflavine_c	Metabolite	Acriflavine	-	x	x
7	ACTP_c	Metabolite	Acetyl phosphate	-	x	x
8	AD_c	Metabolite	adenine	-	x	x
9	ADN_c	Metabolite	adenosine	-	x	x
10	ADP_c	Metabolite	ADP	-	x	x
11	AEPP_c	Metabolite	2-aminoethylphosphonate	-	x	x
12	AHCYS_c	Metabolite	S-Adenosyl-L-homocysteine	-	x	x
13	AKG_c	Metabolite	2-Oxoglutarate	-	x	x
14	ALA_c	Metabolite	L-alanine	-	x	x
15	AlaAla_c	Metabolite	L-alanyl-L-alanine	-	x	x
16	AMET_c	Metabolite	S-Adenosyl-L-methionine	-	x	x
17	aminodimethylaniline_c	Metabolite	N,N'-dimethyl-p-phenylenediamine	-	x	x
18	AMP_c	Metabolite	AMP	-	x	x
19	AMP_Lysine_c	Metabolite	AMP-Lysine	-	x	x
20	AMP_Mor_c	Metabolite	AMP-morpholidate	-	x	x
21	AMP_NH2_c	Metabolite	AMP-NH2	-	x	x
22	anthranilate_c	Metabolite	2-aminobenzoic acid	-	x	x
23	ARG_c	Metabolite	L-Arginine	-	x	x
24	ArgArg_c	Metabolite	L-arginyl-L-arginine	-	x	x
25	ASN_c	Metabolite	L-Asparagine	-	x	x
26	AsnAsn_c	Metabolite	L-asparaginyl-L-asparagine	-	x	x
27	ASP_c	Metabolite	L-Aspartate	-	x	x
28	AspAsp_c	Metabolite	L-aspartyl-L-aspartic Acid	-	x	x
29	ATP_c	Metabolite	ATP	-	x	x
30	aza6dT_c	Metabolite	6-aza-2'-deoxythymidine	-	x	x
31	aza6dTMP_c	Metabolite	6-aza-2'-deoxythymidine monophosphate	-	x	x
32	aza8dA_c	Metabolite	8-aza-2'-deoxyadenosine	-	x	x
33	aza8dAMP_c	Metabolite	8-aza-2'-deoxyadenosine monophosphate	-	x	x
34	benzalkonium_c	Metabolite	Benzalkonium	-	x	x
35	berberine_c	Metabolite	Berberine	-	x	x
36	BUT_c	Metabolite	butyric acid, butanoic acid	-	x	x
37	C23CMP_c	Metabolite	2',3'-Cyclic CMP	-	x	x
38	C3MP_c	Metabolite	3'-CMP	-	x	x
39	c5dU_c	Metabolite	5-Carbouy-2'-deoxyuridine	-	x	x
40	c5dUMP_c	Metabolite	5-Carbouy-2'-deoxyuridine monophosphate	-	x	x
41	CA_c	Metabolite	calcium ion	-	x	x
42	CAP_c	Metabolite	carbamoyl phosphate	-	x	x
43	carbamoylmethyl6dA_c	Metabolite	N6-carbamoylmethyl-2'-deoxyadenosine	-	x	x
44	carbamoylmethyl6dAMP_c	Metabolite	N6-carbamoylmethyl-2'-deoxyadenosine monophosphate	-	x	x
45	CDP_c	Metabolite	CDP	-	x	x
46	CDPDG120_c	Metabolite	CDP-1,2-didodecanoylglycerol	-	x	x
47	CDPDG140_c	Metabolite	CDP-1,2-ditetradecanoylglycerol	-	x	x
