Variable,State ID,Property name,Changed
Chromosome__abasicSites,Chromosome,abasicSites,
Chromosome__complexBoundSites,Chromosome,complexBoundSites,
Chromosome__damagedBases,Chromosome,damagedBases,
Chromosome__damagedSugarPhosphates,Chromosome,damagedSugarPhosphates,
Chromosome__doubleStrandedRegions,Chromosome,doubleStrandedRegions,
Chromosome__gapSites,Chromosome,gapSites,
Chromosome__geneCopyNumbers,Chromosome,geneCopyNumbers,
Chromosome__hollidayJunctions,Chromosome,hollidayJunctions,
Chromosome__intrastrandCrossLinks,Chromosome,intrastrandCrossLinks,
Chromosome__linkingNumbers,Chromosome,linkingNumbers,
Chromosome__monomerBoundSites,Chromosome,monomerBoundSites,
Chromosome__ploidy,Chromosome,ploidy,
Chromosome__polymerizedRegions,Chromosome,polymerizedRegions,
Chromosome__segregated,Chromosome,segregated,
Chromosome__singleStrandedRegions,Chromosome,singleStrandedRegions,
Chromosome__strandBreaks,Chromosome,strandBreaks,
Chromosome__superhelicalDensity,Chromosome,superhelicalDensity,
Chromosome__transcriptionUnitCopyNumbers,Chromosome,transcriptionUnitCopyNumbers,
FtsZRing__numEdges,FtsZRing,numEdges,
FtsZRing__numEdgesOneStraight,FtsZRing,numEdgesOneStraight,
FtsZRing__numEdgesTwoBent,FtsZRing,numEdgesTwoBent,
FtsZRing__numEdgesTwoStraight,FtsZRing,numEdgesTwoStraight,
FtsZRing__numResidualBent,FtsZRing,numResidualBent,
Geometry__chamberVolume,Geometry,chamberVolume,
Geometry__cylindricalLength,Geometry,cylindricalLength,
Geometry__pinched,Geometry,pinched,
Geometry__pinchedCircumference,Geometry,pinchedCircumference,
Geometry__pinchedDiameter,Geometry,pinchedDiameter,
Geometry__surfaceArea,Geometry,surfaceArea,
Geometry__totalLength,Geometry,totalLength,
Geometry__volume,Geometry,volume,
Geometry__width,Geometry,width,
Host__isBacteriumAdherent,Host,isBacteriumAdherent,
Host__isInflammatoryResponseActivated,Host,isInflammatoryResponseActivated,
Host__isNFkBActivated,Host,isNFkBActivated,
Host__isTLRActivated,Host,isTLRActivated,
Mass__cell,Mass,cell,
Mass__cellDry,Mass,cellDry,
Mass__dnaWt,Mass,dnaWt,
Mass__media,Mass,media,
Mass__metaboliteWt,Mass,metaboliteWt,
Mass__proteinWt,Mass,proteinWt,
Mass__rnaWt,Mass,rnaWt,
Mass__total,Mass,total,
Mass__waterWt,Mass,waterWt,
MetabolicReaction__doublingTime,MetabolicReaction,doublingTime,
MetabolicReaction__fluxs,MetabolicReaction,fluxs,
MetabolicReaction__growth,MetabolicReaction,growth,
Metabolite__counts,Metabolite,counts,
Metabolite__processAllocations,Metabolite,processAllocations,
Metabolite__processRequirements,Metabolite,processRequirements,
Metabolite__processUsages,Metabolite,processUsages,
Polypeptide__abortedPolypeptides,Polypeptide,abortedPolypeptides,
Polypeptide__boundMRNAs,Polypeptide,boundMRNAs,
Polypeptide__nascentMonomerLengths,Polypeptide,nascentMonomerLengths,
Polypeptide__proteolysisTagLengths,Polypeptide,proteolysisTagLengths,
ProteinComplex__counts,ProteinComplex,counts,
ProteinMonomer__counts,ProteinMonomer,counts,
Ribosome__boundMRNAs,Ribosome,boundMRNAs,
Ribosome__mRNAPositions,Ribosome,mRNAPositions,
Ribosome__nActive,Ribosome,nActive,
Ribosome__nNotExist,Ribosome,nNotExist,
Ribosome__nStalled,Ribosome,nStalled,
Ribosome__stateOccupancies,Ribosome,stateOccupancies,
Ribosome__states,Ribosome,states,
Ribosome__tmRNAPositions,Ribosome,tmRNAPositions,
Rna__counts,Rna,counts,
RNAPolymerase__nActive,RNAPolymerase,nActive,
RNAPolymerase__nFree,RNAPolymerase,nFree,
RNAPolymerase__nNonSpecificallyBound,RNAPolymerase,nNonSpecificallyBound,
RNAPolymerase__nSpecificallyBound,RNAPolymerase,nSpecificallyBound,
RNAPolymerase__positionStrands,RNAPolymerase,positionStrands,
RNAPolymerase__stateOccupancies,RNAPolymerase,stateOccupancies,
RNAPolymerase__states,RNAPolymerase,states,
RNAPolymerase__supercoilingBindingProbFoldChange,RNAPolymerase,supercoilingBindingProbFoldChange,
RNAPolymerase__transcriptionFactorBindingProbFoldChange,RNAPolymerase,transcriptionFactorBindingProbFoldChange,
Stimulus__values,Stimulus,values,
Time__values,Time,values,
Transcript__abortedTranscripts,Transcript,abortedTranscripts,
Transcript__boundTranscriptChromosome,Transcript,boundTranscriptChromosome,
Transcript__boundTranscriptionUnits,Transcript,boundTranscriptionUnits,
Transcript__boundTranscriptProgress,Transcript,boundTranscriptProgress,
Transcript__rnaBoundRNAPolymerases,Transcript,rnaBoundRNAPolymerases,
