Metabolite (722);Description;Read only;Read and write;requirement
acetamide;acetamide;;x;x
AD;Adenine;;x;x
ADP;ADP;;x;x
AHCYS;S-Adenosyl-L-homocysteine;;x;x
AMET;S-Adenosyl-L-methionine;;x;x
AMP;AMP;;x;x
ATP;ATP;;x;x
butylene_glycol;1,2-Butylene glycol;;x;x
c5URA;5-Carbouyuracil;;x;x
carbamoylmethyl6AD;N6-carbamoylmethyladenine;;x;x
CH3;Methyl radical;;x;x
chloroethylene_oxide;chloroethylene oxide;;x;x
CL;chloride ion;;x;x
CO2;carbon dioxide;;x;x
CSN;cytosine;;x;x
CSN64CSN;cytosine-[6,4]-cytosine;;x;x
CSN64CSN_dewar;cytosine-[6,4]-cytosine dewar product;;x;x
CSN64THY;cytosine-[6,4]-thymine;;x;x
CSN64THY_dewar;cytosine-[6,4]-thymine dewar product;;x;x
CSN_GLYC;cytosine glycol;;x;x
cyclobutane_CSNCSN;cyclobutane cytosine dimer;;x;x
cyclobutane_CSNTHY;cyclobutane cytosine thymine;;x;x
cyclobutane_THYCSN;cyclobutane thymine cytosine;;x;x
cyclobutane_THYTHY;cyclobutane thymine dimer;;x;x
cyclodA;8,5'-cyclo-2'-deoxyadenosine;;x;x
cyclodG;8,5'-cyclo-2'-deoxyguanosine;;x;x
DA;deoxyadenosine;;x;x
DAMP;dAMP;;x;x
dApdAp;dAp-dAp;;x;x
DATP;dATP;;x;x
DCMP;dCMP;;x;x
dCpdCp;cDp-dCp;;x;x
DCTP;dCTP;;x;x
DES;diethyl sulfate;;x;x
DG;deoxyguanosine;;x;x
DGMP;dGMP;;x;x
dGpdGp;dGp-dGp;;x;x
DGTP;dGTP;;x;x
dhpURA;5'-dihydroxypentyluracil;;x;x
DHTHY;5,6-dihydrothymine;;x;x
DHURA;"5,6-dihydroxyuracil; dialuric acid";;x;x
DR5P;2-Deoxy-D-ribose 5-phosphate;;x;x
dRibose5P_dRibose5P;2-Deoxy-D-ribose 5-phosphate dimer;;x;x
DTMP;dTMP;;x;x
dTpdTp;dTp-dTp;;x;x
DTTP;dTTP;;x;x
DUMP;dUMP;;x;x
e1AD;1-ethyladenine;;x;x
e1GN;1-ethylguanine;;x;x
e3AD;3-ethyladenine;;x;x
e3CSN;3-ethylcytosine;;x;x
e3GN;3-ethylguanine;;x;x
e3THY;3'-ethylthymine;;x;x
e6AD;6-ethyladenine;;x;x
e7AD;7-ethyladenine;;x;x
e7GN;7-ethylguanine;;x;x
EMS;ethyl methanesulfonate;;x;x
ENU;ethyl nitrosourea;;x;x
epsilon1N2GN;1,N2-etheno-guanine;;x;x
epsilon1N6AD;1,N6-etheno-adenine;;x;x
epsilon3N4CSN;3,N4-etheno-cytosine;;x;x
epsilonN23GN;N2,3-etheno-guanine;;x;x
ES;ethylsulfate;;x;x
f5URA;5-formyluracil;;x;x
FAPyAD;4,6-diamino-5-N-formamidopyrimidine;;x;x
FAPydAMP;N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine monophosphate;;x;x
FAPydGMP;N6-(2-Deoxy-?,?-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine monophosphate;;x;x
FAPyGN;2,6-diamino-4-hydroxy-5-formamidopyrimidine;;x;x
GLC;D-Glucose;;x;x
glchm5CSN;beta-D-glucosylhydroxymethylcytosine;;x;x
glchm5URA;"beta-D-glucosylhydroxymethyluracil; base J";;x;x
GLU;L-Glutamate;;x;x
gluTHY;a-glutamylthymine;;x;x
GN;Guanine;;x;x
H;Hydrogen ion;;x;x
H2O;Water;;x;x
hm3CSN;3'-hydroxymethylcytosine;;x;x
hm5CSN;5'-hydroxymethylcytosine;;x;x
hm5URA;5-hydroxymethyluracil;;x;x
ho5CSN;5-Hydroxycytosine;;x;x
ho5dUMP;5-hydroxy-2'-deoxyuridine monophosphate;;x;x
ho5ho6THY;5-hydroxy-6-hydroxythymine;;x;x
ho5ho6URA;5-hydroxy-6-hydroxyuracil;;x;x
ho5hydantoin;5-hydroxyhydantoin;;x;x
ho5URA;5-hydroxyuracil;;x;x
hydrogen_radical;hydrogen radical;;x;x
hydroxyl_radical;hydroxyl radical;;x;x
HYXN;hypoxanthine;;x;x
m1AD;1-methyladenine;;x;x
m1GN;1-methylguanine;;x;x
m3AD;3-methyladenine;;x;x
m3CSN;3-methylcytosine;;x;x
m3GN;3-methylguanine;;x;x
m3THY;3'-methylthymine;;x;x
m4CSN;4-methylcytosine;;x;x
m5CSN;5-methylcytosine;;x;x
m6AD;6-methyladenine;;x;x
m7AD;7-methyladenine;;x;x
m7GN;7-methylguanine;;x;x
m8GN;8-methylguanine;;x;x
MMS;methyl methanesulphonate;;x;x
MMSO4;dimethyl sulfate;;x;x
MNNG;N-methyl-N'-nitro-N-nitrosoguanidine;;x;x
MNU;N-methyl-N-nitrosourea;;x;x
MS;methanesulfonic acid;;x;x
MSO4;Methyl sulfate;;x;x
n2AD;2-amino-adenine;;x;x
NAD;nicotinamide adenine dinucleotide, oxidized;;x;x
NH3;ammonia;;x;x
NMN;nicotinamide mononucleotide;;x;x
NNG;1-nitro-2-nitrosoguanidine;;x;x
NU;nitrosourea;;x;x
O2eCSN;2'-O-ethylcytosine;;x;x
O2eTHY;2'-O-ethylthymine;;x;x
O2mCSN;2'-O-methylcytosine;;x;x
O2mTHY;2'-O-methylthymine;;x;x
O4eTHY;4'-O-ethylthymine;;x;x
O4mTHY;4'-O-methylthymine;;x;x
O6eGN;6'-O-ethylguanine;;x;x
O6mGN;6'-O-methylguanine;;x;x
OH;hydoxide anion;;x;x
oxo2AD;2-hydroxyadenine;;x;x
oxo8AD;8-hydroxyadenine;;x;x
oxo8dAMP;8-hydroxy-2'-deoxyadenosine monophosphate;;x;x
oxo8dGMP;"8-Oxo-2'-deoxyguanosine monophosphate; 8-hydroxy-2'-deoxyguanosine monophosphate";;x;x
oxo8GN;"8-Oxo-guanine; 8-hydroxyguanine";;x;x
oxoethyl7GN;7-(2'-oxoethyl)-guanine;;x;x
PI;phosphate;;x;x
PPI;diphosphate;;x;x
PTRC;Putrescine;;x;x
putTHY;alpha-putrescinylthymine;;x;x
THY;Thymine;;x;x
THY64CSN;thymine-[6,4]-cytosine;;x;x
THY64CSN_dewar;thymine-[6,4]-cytosine dewar product;;x;x
THY64THY;thymine-[6,4]-thymine;;x;x
THY64THY_dewar;thymine-[6,4]-thymine dewar product;;x;x
THY_GLYC;thymine glycol;;x;x
URA;Uracil;;x;x
XAN;Xanthine;;x;x
