Metabolite (722);Description;Read only;Read and write;requirement
DR5P;2-Deoxy-D-ribose 5-phosphate;;x;x
dRibose5P_dRibose5P;2-Deoxy-D-ribose 5-phosphate dimer;;x;x
H;Hydrogen ion;;x;x
H2O;Water;;x;x
DAMP;dAMP;;x;x
dApdAp;dAp-dAp;;x;x
DCMP;dCMP;;x;x
dCpdCp;cDp-dCp;;x;x
DGMP;dGMP;;x;x
dGpdGp;dGp-dGp;;x;x
DTMP;dTMP;;x;x
dTpdTp;dTp-dTp;;x;x
NAD;Nicotinamide adenine dinucleotide, oxidized;;x;x
NMN;nicotinamide mononucleotide;;x;x
AMP;AMP;;x;x
DATP;dATP;;x;x
PPI;Diphosphate;;x;x
DCTP;dCTP;;x;x
DGTP;dGTP;;x;x
DTTP;dTTP;;x;x
AD;Adenine;;x;x
ADN;Adenosine;;x;x
AHCYS;S-Adenosyl-L-homocysteine;;x;x
AMET;S-Adenosyl-L-methionine;;x;x
m6AD;6-methyladenine;;x;x
ADP;ADP;;x;x
ATP;ATP;;x;x
PI;Phosphate;;x;x
FAPyAD;4,6-diamino-5-N-formamidopyrimidine;;x;x
FAPydAMP;N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine monophosphate;;x;x
FAPydGMP;N6-(2-Deoxy-?,?-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine monophosphate;;x;x
FAPyGN;2,6-diamino-4-hydroxy-5-formamidopyrimidine;;x;x
oxo8AD;8-hydroxyadenine;;x;x
oxo8dAMP;8-hydroxy-2'-deoxyadenosine monophosphate;;x;x
oxo8dGMP;"8-Oxo-2'-deoxyguanosine monophosphate; 8-hydroxy-2'-deoxyguanosine monophosphate";;x;x
oxo8GN;"8-Oxo-guanine; 8-hydroxyguanine";;x;x
ho5dUMP;5-hydroxy-2'-deoxyuridine monophosphate;;x;x
ho5URA;5-hydroxyuracil;;x;x
DUMP;dUMP;;x;x
URA;Uracil;;x;x
