Variable,State ID,Property name,Changed
Chromosome_abasicSites,Chromosome,abasicSites,x
Chromosome_complexBoundSites,Chromosome,complexBoundSites,
Chromosome_damagedBases,Chromosome,damagedBases,x
Chromosome_damagedSugarPhosphates,Chromosome,damagedSugarPhosphates,
Chromosome_doubleStrandedRegions,Chromosome,doubleStrandedRegions,
Chromosome_gapSites,Chromosome,gapSites,
Chromosome_geneCopyNumbers,Chromosome,geneCopyNumbers,
Chromosome_hollidayJunctions,Chromosome,hollidayJunctions,
Chromosome_intrastrandCrossLinks,Chromosome,intrastrandCrossLinks,x
Chromosome_linkingNumbers,Chromosome,linkingNumbers,
Chromosome_monomerBoundSites,Chromosome,monomerBoundSites,
Chromosome_ploidy,Chromosome,ploidy,
Chromosome_polymerizedRegions,Chromosome,polymerizedRegions,
Chromosome_segregated,Chromosome,segregated,
Chromosome_singleStrandedRegions,Chromosome,singleStrandedRegions,
Chromosome_strandBreaks,Chromosome,strandBreaks,x
Chromosome_superhelicalDensity,Chromosome,superhelicalDensity,
Chromosome_transcriptionUnitCopyNumbers,Chromosome,transcriptionUnitCopyNumbers,
FtsZRing_numEdges,FtsZRing,numEdges,
FtsZRing_numEdgesOneStraight,FtsZRing,numEdgesOneStraight,
FtsZRing_numEdgesTwoBent,FtsZRing,numEdgesTwoBent,
FtsZRing_numEdgesTwoStraight,FtsZRing,numEdgesTwoStraight,
FtsZRing_numResidualBent,FtsZRing,numResidualBent,
Geometry_chamberVolume,Geometry,chamberVolume,
Geometry_cylindricalLength,Geometry,cylindricalLength,
Geometry_pinched,Geometry,pinched,
Geometry_pinchedCircumference,Geometry,pinchedCircumference,
Geometry_pinchedDiameter,Geometry,pinchedDiameter,
Geometry_surfaceArea,Geometry,surfaceArea,
Geometry_totalLength,Geometry,totalLength,
Geometry_volume,Geometry,volume,
Geometry_width,Geometry,width,
Host_isBacteriumAdherent,Host,isBacteriumAdherent,
Host_isInflammatoryResponseActivated,Host,isInflammatoryResponseActivated,
Host_isNFkBActivated,Host,isNFkBActivated,
Host_isTLRActivated,Host,isTLRActivated,
Mass_cell,Mass,cell,
Mass_cellDry,Mass,cellDry,
Mass_dnaWt,Mass,dnaWt,
Mass_media,Mass,media,
Mass_metaboliteWt,Mass,metaboliteWt,
Mass_proteinWt,Mass,proteinWt,
Mass_rnaWt,Mass,rnaWt,
Mass_total,Mass,total,
Mass_waterWt,Mass,waterWt,
MetabolicReaction_doublingTime,MetabolicReaction,doublingTime,
MetabolicReaction_fluxs,MetabolicReaction,fluxs,
MetabolicReaction_growth,MetabolicReaction,growth,
Metabolite_counts,Metabolite,counts,x
Metabolite_processAllocations,Metabolite,processAllocations,
Metabolite_processRequirements,Metabolite,processRequirements,
Metabolite_processUsages,Metabolite,processUsages,
Polypeptide_abortedPolypeptides,Polypeptide,abortedPolypeptides,
Polypeptide_boundMRNAs,Polypeptide,boundMRNAs,
Polypeptide_nascentMonomerLengths,Polypeptide,nascentMonomerLengths,
Polypeptide_proteolysisTagLengths,Polypeptide,proteolysisTagLengths,
ProteinComplex_counts,ProteinComplex,counts,
ProteinMonomer_counts,ProteinMonomer,counts,
Ribosome_boundMRNAs,Ribosome,boundMRNAs,
Ribosome_mRNAPositions,Ribosome,mRNAPositions,
Ribosome_nActive,Ribosome,nActive,
Ribosome_nNotExist,Ribosome,nNotExist,
Ribosome_nStalled,Ribosome,nStalled,
Ribosome_stateOccupancies,Ribosome,stateOccupancies,
Ribosome_states,Ribosome,states,
Ribosome_tmRNAPositions,Ribosome,tmRNAPositions,
Rna_counts,Rna,counts,
RNAPolymerase_nActive,RNAPolymerase,nActive,
RNAPolymerase_nFree,RNAPolymerase,nFree,
RNAPolymerase_nNonSpecificallyBound,RNAPolymerase,nNonSpecificallyBound,
RNAPolymerase_nSpecificallyBound,RNAPolymerase,nSpecificallyBound,
RNAPolymerase_positionStrands,RNAPolymerase,positionStrands,
RNAPolymerase_stateOccupancies,RNAPolymerase,stateOccupancies,
RNAPolymerase_states,RNAPolymerase,states,
RNAPolymerase_supercoilingBindingProbFoldChange,RNAPolymerase,supercoilingBindingProbFoldChange,
RNAPolymerase_transcriptionFactorBindingProbFoldChange,RNAPolymerase,transcriptionFactorBindingProbFoldChange,
Stimulus_values,Stimulus,values,
Time_values,Time,values,
Transcript_abortedTranscripts,Transcript,abortedTranscripts,
Transcript_boundTranscriptChromosome,Transcript,boundTranscriptChromosome,
Transcript_boundTranscriptionUnits,Transcript,boundTranscriptionUnits,
Transcript_boundTranscriptProgress,Transcript,boundTranscriptProgress,
Transcript_rnaBoundRNAPolymerases,Transcript,rnaBoundRNAPolymerases,
